"Date","Site","Array","Trap","trap_type","Taxa","SppCode","Toeclip","Recap","SVL","VTL","weight","weight_flag","Sex","OrigTail","Comments","Dead","Hatchling"
2011-03-23,"GWA1","2","C3","funnel","Lizard","UTST","A2B5","N",52,80,5.5,NA,"F",NA,"Gravid?   Orange throat","N",NA
2011-03-24,"GWA1","1","A4","pitfall","Lizard","UTST","A2C2","N",58,112,6.5,NA,"M",NA,NA,"N",NA
2011-03-24,"GWA1","1","C4","pitfall","Lizard","UTST","A2C1","N",56,76,6.25,NA,"M",44,NA,"N",NA
2011-03-24,"GWA1","2","A2","funnel","Lizard","UTST","A2B1","Y",59,109,7,NA,"M",NA,NA,"N",NA
2011-03-24,"GWA1","2","A2","funnel","Lizard","UTST","A2B5","Y",52,81,5.5,NA,"F",NA,"Gravid?  Orange still on throat","N",NA
2011-03-24,"GWA2","1","B3","funnel","Lizard","ASTI","A3B4","N",69,160,8.5,NA,"M",NA,NA,"N",NA
2011-03-24,"GWA2","2","A3","funnel","Lizard","UTST","A2C1","N",55,103,6.5,NA,"M",NA,NA,"N",NA
2011-03-24,"GWA2","2","B2","funnel","Lizard","UTST","A2C2","N",50,81,4.5,NA,"F",NA,NA,"N",NA
2011-03-25,"GWA2","1","B2","funnel","Lizard","ASTI","A3D5","N",48,107,2,NA,"U",98,"hatchling/juvenile.  D5 nat. loss, check database.","N",NA
2011-03-25,"GWA2","1","B2","funnel","Lizard","UTST","A3D3D4","N",53,92,4.5,NA,"M",NA,"nat. loss of D3,D4, pretty sure clipped A3.  Second guessing A2","N",NA
2011-03-25,"GWA2","2","A1","pitfall","Lizard","ASTI","A3B5","N",48,112,2.5,NA,"U",NA,"hatchling or juvenile","N",NA
2011-03-25,"GWA2","2","C2","funnel","Lizard","UTST","A2B1","Y",61,101,6.5,NA,"M",69,NA,"N",NA
2011-03-26,"GWA2","1","B2","funnel","Lizard","ASTI","A3C1","N",55,140,4,NA,"F",NA,"not positive on sex ID","N",NA
2011-03-26,"GWA2","1","B3","funnel","Lizard","ASTI","A3C2","N",73,192,9.5,NA,"M",NA,NA,"N",NA
2011-03-26,"GWA2","1","A1","pitfall","Snake","CRSC",NA,NA,NA,NA,NA,NA,NA,NA,"~3ft long, left A1+A4 open for snake to leave","N",NA
2011-03-26,"GWA2","2","A1","pitfall","Lizard","ASTI","A3C3","N",47,107,2,NA,"U",NA,NA,"N",NA
2011-03-26,"GWA2","2","B3","funnel","Lizard","ASTI","A3B3","Y",51,131,3,NA,"M",NA,"not sure about sex","N",NA
2011-03-26,"GWA2","2","C4","pitfall","Lizard","ASTI","A3B2","Y",58,140,4.5,NA,"M",NA,"tail damage at 125mm. Not sure about sex.","N",NA
2011-03-27,"GWA1","2","B3","funnel","Lizard","ASTI","A2C1","N",72,189,9,NA,"M",NA,NA,"N",NA
2011-03-27,"GWA2","1","C2","funnel","Lizard","ASTI","A3C5","N",71,172,9.5,NA,"M",NA,NA,"N",NA
2011-03-28,"GWA2","1","C3","funnel","Lizard","ASTI","A3B4","Y",68,162,8,NA,"M",NA,NA,"N",NA
2011-03-28,"GWA2","2","A1","pitfall","Lizard","ASTI","A3D1","N",44,97,2,NA,"U",NA,"juvenile","N",NA
2011-03-28,"GWA2","2","A1","pitfall","Lizard","ASTI","A3D2","N",46,110,2.5,NA,"U",NA,"juvenile","N",NA
2011-03-28,"GWA2","2","B3","funnel","Lizard","ASTI","A3D3","N",74,189,10,NA,"M",NA,NA,"N",NA
2011-03-28,"GWA2","2","C4","pitfall","Lizard","ASTI","A4B1","N",43,108,2,NA,"U",NA,"juvenile","N",NA
2011-03-29,"GWA1","1","A2","funnel","Lizard","ASTI","A2C2","N",76,191,9,NA,"F",NA,NA,"N",NA
2011-03-29,"GWA1","1","A1","pitfall","Lizard","CADR","A1B3","N",62,76,6.5,NA,"M",NA,NA,"N",NA
2011-03-29,"GWA1","1","C3","funnel","Lizard","UTST","A2C5","Y",57,102,6.5,NA,"M",NA,NA,"N",NA
2011-03-29,"GWA2","1","B2","funnel","Lizard","ASTI","A4B3","N",81,90,12,NA,"M",90,NA,"N",NA
2011-03-29,"GWA2","1","B4","pitfall","Lizard","ASTI","A4C5","N",64,163,6,NA,"F",NA,"C5 natural toe loss","N",NA
2011-03-29,"GWA2","1","C3","funnel","Lizard","ASTI","A4B4","N",72,177,9,NA,"F",NA,NA,"N",NA
2011-03-29,"GWA2","2","A1","pitfall","Lizard","ASTI","A3B3","Y",52,131,3,NA,"M",NA,"juvenile","N",NA
2011-03-29,"GWA2","2","B3","funnel","Lizard","ASTI","A4B2","N",60,152,5,NA,"F",NA,NA,"N",NA
2011-03-29,"GWA2","2","C4","pitfall","Lizard","ASTI","A1B1C1","N",52,63,3,NA,"M",63,"juvenile.  A1 natural toe loss","N",NA
2011-03-29,"GWA2","2","B2","funnel","Lizard","UTST","A2C1","Y",57,105,5.5,NA,"M",NA,NA,"N",NA
